custody_id,participant_age_group,participant_gender,participant_status,participant_type,latitude,longitude,gun_stolen,gun_type,incident_id,date_fk
388143,Adult 18+,Male,Arrested,Suspect,31.4519,-83.5108,Stolen,Shotgun,221835,1516
388194,Adult 18+,Male,Arrested,Suspect,37.9467,-121.27,Stolen,Shotgun,221859,1516
389961,Adult 18+,Male,Arrested,Suspect,28.0336,-81.7582,Stolen,Shotgun,222918,1523
392593,Adult 18+,Male,Arrested,Suspect,39.6201,-79.923,Stolen,Shotgun,224528,1534
392931,Adult 18+,Male,Arrested,Suspect,36.1692,-115.14,Stolen,Shotgun,224725,1535
397362,Adult 18+,Male,Arrested,Suspect,38.9653,-92.2993,Stolen,Shotgun,227427,1554
397866,Adult 18+,Male,Arrested,Suspect,38.58,-92.1876,Stolen,Shotgun,227736,1556
398875,Adult 18+,Male,Arrested,Suspect,39.2876,-76.6596,Stolen,Shotgun,228341,1560
401582,Adult 18+,Male,Arrested,Suspect,41.6591,-72.9435,Stolen,Shotgun,229951,1569
408548,Adult 18+,Female,Arrested,Suspect,40.6789,-74.0097,Stolen,Shotgun,234179,1598
409676,Adult 18+,Male,Arrested,Suspect,34.725,-92.2016,Stolen,Shotgun,234922,1602
410006,Adult 18+,Male,Arrested,Suspect,29.6972,-91.2031,Stolen,Shotgun,235115,1604
410371,Adult 18+,Male,Arrested,Suspect,41.1053,-80.7023,Stolen,Shotgun,235322,1605
413557,Adult 18+,Male,Arrested,Suspect,39.6956,-104.848,Stolen,Shotgun,237345,1618
86624,Adult 18+,Male,Unharmed,Suspect,42.3684,-83.437,Stolen,Shotgun,43881,385
267181,Adult 18+,Female,Arrested,Suspect,31.7961,-93.1933,Stolen,Shotgun,148830,1086
285005,Teen 12-17,Male,Arrested,Suspect,40.774,-74.2243,Stolen,Shotgun,159291,1148
308919,Adult 18+,Male,Killed,Suspect,38.024,-97.3183,Stolen,Shotgun,173498,1232
300915,Teen 12-17,Male,Injured,Suspect,41.7587,-87.6123,Stolen,Shotgun,168656,1203
338380,Teen 12-17,Male,Arrested,Suspect,30.0035,-91.8193,Stolen,Shotgun,191766,1336
46195,Adult 18+,Male,Unharmed,Suspect,36.0131,-79.7574,Stolen,Shotgun,23543,263
131696,Adult 18+,Male,Unharmed,Suspect,33.1924,-79.9967,Stolen,Shotgun,70093,583
160629,Adult 18+,Male,Injured,Suspect,37.1447,-83.6639,Stolen,Shotgun,86889,688
172912,Adult 18+,Male,Unharmed,Suspect,41.5599,-81.5852,Stolen,Shotgun,94151,734
252000,Adult 18+,Male,Unharmed,Suspect,39.135,-76.6308,Stolen,Shotgun,139825,1034
253181,Adult 18+,Male,Unharmed,Suspect,30.3281,-97.6959,Stolen,Shotgun,140548,1038
283295,Adult 18+,Male,Unharmed,Suspect,40.7529,-73.752,Stolen,Shotgun,158293,1143
289670,Adult 18+,Male,Unharmed,Suspect,41.7973,-71.4179,Stolen,Shotgun,162053,1165
402950,Adult 18+,Male,Unharmed,Suspect,39.7907,-84.249,Stolen,Shotgun,230765,1574
335724,Adult 18+,Male,Unharmed,Suspect,42.5795,-71.802,Stolen,Shotgun,190145,1327
343184,Adult 18+,Male,Unharmed,Suspect,40.3356,-76.9603,Stolen,Shotgun,194661,1353
351534,Adult 18+,Male,Unharmed,Suspect,39.7527,-75.5366,Stolen,Shotgun,199647,1381
407316,Adult 18+,Male,Unharmed,Suspect,39.0427,-95.6877,Stolen,Shotgun,233391,1593
116433,Adult 18+,Male,Injured,Suspect,36.9923,-81.0266,Stolen,Shotgun,61049,524
184314,Teen 12-17,Male,Unharmed,Suspect,37.9765,-87.4717,Stolen,Shotgun,100668,779
363154,Adult 18+,Male,Unharmed,Suspect,33.5573,-112.1,Stolen,Shotgun,206702,1423
24315,Teen 12-17,Male,Arrested,Suspect,32.7099,-94.7522,Stolen,Shotgun,12092,181
192689,Teen 12-17,Male,Arrested,Suspect,39.547,-119.794,Stolen,Shotgun,105417,812
330223,Adult 18+,Female,Arrested,Suspect,32.2367,-101.492,Stolen,Shotgun,186798,1310
96075,Adult 18+,Male,Killed,Suspect,34.0699,-118.351,Stolen,Shotgun,49097,427
121437,Teen 12-17,Male,Arrested,Suspect,36.2019,-95.9851,Stolen,Shotgun,64004,544
171416,Teen 12-17,Female,Arrested,Suspect,47.6138,-122.332,Stolen,Shotgun,93292,728
224273,Teen 12-17,Male,Arrested,Suspect,42.0648,-71.0404,Stolen,Shotgun,123675,934
287394,Teen 12-17,Male,Arrested,Suspect,42.2486,-84.4145,Stolen,Shotgun,160704,1157
321432,Teen 12-17,Male,Arrested,Suspect,38.8868,-75.4049,Stolen,Shotgun,181274,1279
324688,Teen 12-17,Male,Arrested,Suspect,35.8705,-83.7569,Stolen,Shotgun,183294,1290
363916,Teen 12-17,Male,Arrested,Suspect,37.1251,-84.0804,Stolen,Shotgun,207177,1426
387405,Teen 12-17,Male,Arrested,Suspect,41.7095,-87.6786,Stolen,Shotgun,221386,1513
409919,Teen 12-17,Male,Arrested,Suspect,40.036,-76.3109,Stolen,Shotgun,235062,1603
8515,Adult 18+,Male,Unharmed,Suspect,41.9645,-72.3188,Stolen,Shotgun,3927,111
56529,Adult 18+,Male,Unharmed,Suspect,36.2662,-94.48,Stolen,Shotgun,28678,294
102069,Adult 18+,Male,Unharmed,Suspect,33.8699,-79.2004,Stolen,Shotgun,52654,454
139709,Adult 18+,Male,Unharmed,Suspect,33.8063,-84.3761,Stolen,Shotgun,74774,612
167830,Adult 18+,Male,Unharmed,Suspect,46.1433,-119.295,Stolen,Shotgun,91168,714
174062,Adult 18+,Male,Unharmed,Suspect,42.6466,-83.2893,Stolen,Shotgun,94792,739
185863,Adult 18+,Male,Unharmed,Suspect,40.5479,-111.98,Stolen,Shotgun,101541,786
302891,Adult 18+,Male,Unharmed,Suspect,33.8777,-118.206,Stolen,Shotgun,169807,1210
306171,Adult 18+,Male,Unharmed,Suspect,40.3104,-80.0145,Stolen,Shotgun,171803,1222
325962,Adult 18+,Male,Unharmed,Suspect,45.5046,-122.444,Stolen,Shotgun,184119,1294
327065,Adult 18+,Male,Unharmed,Suspect,41.0943,-81.549,Stolen,Shotgun,184813,1298
332797,Adult 18+,Male,Unharmed,Suspect,33.7084,-84.3079,Stolen,Shotgun,188370,1318
340538,Adult 18+,Male,Unharmed,Suspect,37.4286,-94.6981,Stolen,Shotgun,193069,1344
351299,Adult 18+,Male,Unharmed,Suspect,26.6379,-82.0108,Stolen,Shotgun,199500,1380
393809,Adult 18+,Male,Unharmed,Suspect,38.9289,-95.266,Stolen,Shotgun,225261,1539
398287,Adult 18+,Female,Unharmed,Suspect,41.9513,-87.7669,Stolen,Shotgun,227993,1557
310814,Adult 18+,Female,Arrested,Suspect,39.463,-103.938,Stolen,Shotgun,174671,1240
190841,Adult 18+,Male,Killed,Suspect,39.0945,-84.5456,Stolen,Shotgun,104366,805
237443,Adult 18+,Male,Killed,Suspect,34.7179,-86.6274,Stolen,Shotgun,131281,983
257691,Adult 18+,Male,Killed,Suspect,33.4816,-112.183,Stolen,Shotgun,143259,1053
303566,Adult 18+,Male,Killed,Suspect,38.6836,-90.2714,Stolen,Shotgun,170237,1213
323679,Adult 18+,Male,Killed,Suspect,38.6588,-79.3526,Stolen,Shotgun,182670,1286
366286,Adult 18+,Male,Killed,Suspect,47.2431,-122.385,Stolen,Shotgun,208637,1436
413492,Adult 18+,Male,Killed,Suspect,36.5706,-87.2703,Stolen,Shotgun,237302,1618
188573,Teen 12-17,Male,Injured,Suspect,29.7701,-95.4019,Stolen,Shotgun,103075,796
104952,Adult 18+,Male,Injured,Suspect,45.0738,-93.2028,Stolen,Shotgun,54291,468
171856,Adult 18+,Male,Injured,Suspect,29.747,-95.403,Stolen,Shotgun,93548,730
337679,Adult 18+,Male,Injured,Suspect,29.2781,-81.0324,Stolen,Shotgun,191349,1334
348433,Teen 12-17,Female,Unharmed,Suspect,32.3286,-80.954,Stolen,Shotgun,197760,1370
45154,Adult 18+,Male,Arrested,Suspect,35.9115,-77.81,Stolen,380 Auto,23005,260
201735,Adult 18+,Male,Arrested,Suspect,61.2141,-149.879,Stolen,380 Auto,110562,847
253674,Adult 18+,Male,Arrested,Suspect,41.1172,-87.8725,Stolen,380 Auto,140829,1039
96358,Adult 18+,Male,Arrested,Suspect,34.8414,-82.5468,Stolen,380 Auto,49267,428
96965,Adult 18+,Male,Arrested,Suspect,45.562,-122.674,Stolen,380 Auto,49625,431
107717,Adult 18+,Male,Arrested,Suspect,32.4083,-81.7815,Stolen,380 Auto,55922,480
116832,Adult 18+,Male,Arrested,Suspect,42.7826,-72.4943,Stolen,380 Auto,61282,526
158999,Adult 18+,Male,Arrested,Suspect,47.6611,-117.432,Stolen,380 Auto,85959,682
119159,Adult 18+,Male,Arrested,Suspect,40.1722,-74.5464,Stolen,380 Auto,62653,535
123137,Adult 18+,Male,Arrested,Suspect,36.2561,-76.3285,Stolen,380 Auto,64971,550
139507,Adult 18+,Male,Arrested,Suspect,34.9979,-80.6121,Stolen,380 Auto,74655,611
144761,Adult 18+,Male,Arrested,Suspect,41.4555,-82.7018,Stolen,380 Auto,77716,632
171472,Adult 18+,Male,Arrested,Suspect,43.0903,-83.714,Stolen,380 Auto,93318,729
174404,Adult 18+,Male,Arrested,Suspect,39.981,-76.7012,Stolen,380 Auto,94988,740
195581,Adult 18+,Male,Arrested,Suspect,39.964,-76.7129,Stolen,380 Auto,107099,823
198450,Adult 18+,Male,Arrested,Suspect,37.9794,-120.392,Stolen,380 Auto,108737,835
200224,Adult 18+,Male,Arrested,Suspect,43.0266,-89.4209,Stolen,380 Auto,109705,842
208427,Adult 18+,Male,Arrested,Suspect,42.0496,-71.0172,Stolen,380 Auto,114434,876
214827,Teen 12-17,Male,Arrested,Suspect,31.4854,-100.432,Stolen,380 Auto,118166,900
256699,Adult 18+,Male,Unharmed,Suspect,41.7996,-71.4164,Stolen,380 Auto,142640,1050
222644,Adult 18+,Male,Arrested,Suspect,41.5705,-87.218,Stolen,380 Auto,122707,928
224725,Adult 18+,Male,Arrested,Suspect,43.072,-77.6189,Stolen,380 Auto,123933,936
224785,Adult 18+,Male,Arrested,Suspect,39.1968,-85.899,Stolen,380 Auto,123971,936
231823,Adult 18+,Male,Arrested,Suspect,41.9605,-87.7846,Stolen,380 Auto,128145,963
240391,Adult 18+,Male,Arrested,Suspect,39.1917,-84.5139,Stolen,380 Auto,132976,993
243531,Adult 18+,Male,Arrested,Suspect,44.0828,-91.9796,Stolen,380 Auto,134868,1005
246040,Adult 18+,Male,Arrested,Suspect,38.9719,-92.3337,Stolen,380 Auto,136317,1014
260720,Adult 18+,Male,Unharmed,Suspect,33.6187,-78.9934,Stolen,380 Auto,145005,1063
262544,Adult 18+,Male,Arrested,Suspect,41.192,-73.2104,Stolen,380 Auto,146086,1069
277999,Adult 18+,Male,Arrested,Suspect,32.5512,-93.7045,Stolen,380 Auto,155203,1124
